task,baseline_name,scaffold_name,baseline_mae,scaffold_mae,baseline_rmse,scaffold_rmse,baseline_exact_accuracy,scaffold_exact_accuracy,baseline_tolerance_accuracy,scaffold_tolerance_accuracy,baseline_mae_ci_low,baseline_mae_ci_high,scaffold_mae_ci_low,scaffold_mae_ci_high
counting,connected_components,watershed_scaffold,3.0000,0.0833,3.4400,0.2887,0.0833,0.9167,0.0833,0.9167,2.0000,3.9167,0.0000,0.2500
angle,naive_hough,vertex_clustered_ray_scaffold,1.3722,1.0638,1.7916,1.4692,0.0000,0.0000,0.5000,0.5833,0.7941,2.0445,0.5934,1.6923
